Name,Template,Reference
1d-interleaved-parityfec,audio/1d-interleaved-parityfec,[RFC 6015]
32kadpcm,audio/32kadpcm,[RFC 3802][RFC 2421]
3gpp,audio/3gpp,[RFC 3839][RFC 6381]
3gpp2,audio/3gpp2,[RFC 4393][RFC 6381]
aac,audio/aac,[ISO-IEC_JTC_1][Max_Neuendorf]
ac3,audio/ac3,[RFC 4184]
AMR,audio/AMR,[RFC 4867]
AMR-WB,audio/AMR-WB,[RFC 4867]
amr-wb+,audio/amr-wb+,[RFC 4352]
aptx,audio/aptx,[RFC 7310]
asc,audio/asc,[RFC 6295]
ATRAC-ADVANCED-LOSSLESS,audio/ATRAC-ADVANCED-LOSSLESS,[RFC 5584]
ATRAC-X,audio/ATRAC-X,[RFC 5584]
ATRAC3,audio/ATRAC3,[RFC 5584]
basic,audio/basic,[RFC 2045][RFC 2046]
BV16,audio/BV16,[RFC 4298]
BV32,audio/BV32,[RFC 4298]
clearmode,audio/clearmode,[RFC 4040]
CN,audio/CN,[RFC 3389]
DAT12,audio/DAT12,[RFC 3190]
dls,audio/dls,[RFC 4613]
dsr-es201108,audio/dsr-es201108,[RFC 3557]
dsr-es202050,audio/dsr-es202050,[RFC 4060]
dsr-es202211,audio/dsr-es202211,[RFC 4060]
dsr-es202212,audio/dsr-es202212,[RFC 4060]
DV,audio/DV,[RFC 6469]
DVI4,audio/DVI4,[RFC 4856]
eac3,audio/eac3,[RFC 4598]
encaprtp,audio/encaprtp,[RFC 6849]
EVRC,audio/EVRC,[RFC 4788]
EVRC-QCP,audio/EVRC-QCP,[RFC 3625]
EVRC0,audio/EVRC0,[RFC 4788]
EVRC1,audio/EVRC1,[RFC 4788]
EVRCB,audio/EVRCB,[RFC 5188]
EVRCB0,audio/EVRCB0,[RFC 5188]
EVRCB1,audio/EVRCB1,[RFC 4788]
EVRCNW,audio/EVRCNW,[RFC 6884]
EVRCNW0,audio/EVRCNW0,[RFC 6884]
EVRCNW1,audio/EVRCNW1,[RFC 6884]
EVRCWB,audio/EVRCWB,[RFC 5188]
EVRCWB0,audio/EVRCWB0,[RFC 5188]
EVRCWB1,audio/EVRCWB1,[RFC 5188]
EVS,audio/EVS,[_3GPP][Kyunghun_Jung]
example,audio/example,[RFC 4735]
flac,audio/flac,[RFC 9639]
flexfec,audio/flexfec,[RFC 8627]
fwdred,audio/fwdred,[RFC 6354]
G711-0,audio/G711-0,[RFC 7655]
G719,audio/G719,[RFC 5404][RFC Errata 3245]
G7221,audio/G7221,[RFC 5577]
G722,audio/G722,[RFC 4856]
G723,audio/G723,[RFC 4856]
G726-16,audio/G726-16,[RFC 4856]
G726-24,audio/G726-24,[RFC 4856]
G726-32,audio/G726-32,[RFC 4856]
G726-40,audio/G726-40,[RFC 4856]
G728,audio/G728,[RFC 4856]
G729,audio/G729,[RFC 4856]
G7291,audio/G7291,[RFC 4749][RFC 5459]
G729D,audio/G729D,[RFC 4856]
G729E,audio/G729E,[RFC 4856]
GSM,audio/GSM,[RFC 4856]
GSM-EFR,audio/GSM-EFR,[RFC 4856]
GSM-HR-08,audio/GSM-HR-08,[RFC 5993]
iLBC,audio/iLBC,[RFC 3952]
ip-mr_v2.5,audio/ip-mr_v2.5,[RFC 6262]
L8,audio/L8,[RFC 4856]
L16,audio/L16,[RFC 4856]
L20,audio/L20,[RFC 3190]
L24,audio/L24,[RFC 3190]
LPC,audio/LPC,[RFC 4856]
matroska,audio/matroska,[RFC 9559]
MELP,audio/MELP,[RFC 8130]
MELP600,audio/MELP600,[RFC 8130]
MELP1200,audio/MELP1200,[RFC 8130]
MELP2400,audio/MELP2400,[RFC 8130]
mhas,audio/mhas,[ISO-IEC_JTC_1][Nils_Peters][Ingo_Hofmann]
midi-clip,audio/midi-clip,[MIDI_Association][Benjamin_Israel]
mobile-xmf,audio/mobile-xmf,[RFC 4723]
MPA,audio/MPA,[RFC 3555]
mp4,audio/mp4,[RFC 4337][RFC 6381]
MP4A-LATM,audio/MP4A-LATM,[RFC 6416]
mpa-robust,audio/mpa-robust,[RFC 5219]
mpeg,audio/mpeg,[RFC 3003]
mpeg4-generic,audio/mpeg4-generic,[RFC 3640][RFC 5691][RFC 6295]
ogg,audio/ogg,[RFC 5334][RFC 7845]
opus,audio/opus,[RFC 7587]
parityfec,audio/parityfec,[RFC 3009]
PCMA,audio/PCMA,[RFC 4856]
PCMA-WB,audio/PCMA-WB,[RFC 5391]
PCMU,audio/PCMU,[RFC 4856]
PCMU-WB,audio/PCMU-WB,[RFC 5391]
prs.aaud,audio/prs.aaud,[Ai_Media_Format]
prs.sid,audio/prs.sid,[Linus_Walleij]
QCELP,audio/QCELP,[RFC 3555][RFC 3625]
raptorfec,audio/raptorfec,[RFC 6682]
RED,audio/RED,[RFC 3555]
rtp-enc-aescm128,audio/rtp-enc-aescm128,[_3GPP]
rtploopback,audio/rtploopback,[RFC 6849]
rtp-midi,audio/rtp-midi,[RFC 6295]
rtx,audio/rtx,[RFC 4588]
scip,audio/scip,[RFC 9607]
SMV,audio/SMV,[RFC 3558]
SMV0,audio/SMV0,[RFC 3558]
SMV-QCP,audio/SMV-QCP,[RFC 3625]
sofa,audio/sofa,[AES][Piotr_Majdak]
soundfont,audio/soundfont,[Aria_Barak][5]
sp-midi,audio/sp-midi,[Athan_Billias][MIDI_Association]
speex,audio/speex,[RFC 5574]
t140c,audio/t140c,[RFC 4351]
t38,audio/t38,[RFC 4612]
telephone-event,audio/telephone-event,[RFC 4733]
TETRA_ACELP,audio/TETRA_ACELP,[ETSI][Miguel_Angel_Reina_Ortega]
TETRA_ACELP_BB,audio/TETRA_ACELP_BB,[ETSI][Miguel_Angel_Reina_Ortega]
tone,audio/tone,[RFC 4733]
TSVCIS,audio/TSVCIS,[RFC 8817]
UEMCLIP,audio/UEMCLIP,[RFC 5686]
ulpfec,audio/ulpfec,[RFC 5109]
usac,audio/usac,[ISO-IEC_JTC_1][Max_Neuendorf]
VDVI,audio/VDVI,[RFC 4856]
VMR-WB,audio/VMR-WB,[RFC 4348][RFC 4424]
vnd.3gpp.iufp,audio/vnd.3gpp.iufp,[Thomas_Belling]
vnd.4SB,audio/vnd.4SB,[Serge_De_Jaham]
vnd.audiokoz,audio/vnd.audiokoz,[Vicki_DeBarros]
vnd.blockfact.facta,audio/vnd.blockfact.facta,[Egbert_von_Frankenberg]
vnd.CELP,audio/vnd.CELP,[Serge_De_Jaham]
vnd.cisco.nse,audio/vnd.cisco.nse,[Rajesh_Kumar]
vnd.cmles.radio-events,audio/vnd.cmles.radio-events,[Jean-Philippe_Goulet]
vnd.cns.anp1,audio/vnd.cns.anp1,[Ann_McLaughlin]
vnd.cns.inf1,audio/vnd.cns.inf1,[Ann_McLaughlin]
vnd.dece.audio,audio/vnd.dece.audio,[Michael_A_Dolan]
vnd.digital-winds,audio/vnd.digital-winds,[Armands_Strazds]
vnd.dlna.adts,audio/vnd.dlna.adts,[Edwin_Heredia]
vnd.dolby.heaac.1,audio/vnd.dolby.heaac.1,[Steve_Hattersley]
vnd.dolby.heaac.2,audio/vnd.dolby.heaac.2,[Steve_Hattersley]
vnd.dolby.mlp,audio/vnd.dolby.mlp,[Mike_Ward]
vnd.dolby.mps,audio/vnd.dolby.mps,[Steve_Hattersley]
vnd.dolby.pl2,audio/vnd.dolby.pl2,[Steve_Hattersley]
vnd.dolby.pl2x,audio/vnd.dolby.pl2x,[Steve_Hattersley]
vnd.dolby.pl2z,audio/vnd.dolby.pl2z,[Steve_Hattersley]
vnd.dolby.pulse.1,audio/vnd.dolby.pulse.1,[Steve_Hattersley]
vnd.dra,audio/vnd.dra,[Jiang_Tian]
vnd.dts,audio/vnd.dts,[William_Zou]
vnd.dts.hd,audio/vnd.dts.hd,[William_Zou]
vnd.dts.uhd,audio/vnd.dts.uhd,[Phillip_Maness]
vnd.dvb.file,audio/vnd.dvb.file,[Peter_Siebert]
vnd.everad.plj,audio/vnd.everad.plj,[Shay_Cicelsky]
vnd.hns.audio,audio/vnd.hns.audio,[Swaminathan]
vnd.lucent.voice,audio/vnd.lucent.voice,[Greg_Vaudreuil]
vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,[Steve_DiAcetis]
vnd.nokia.mobile-xmf,audio/vnd.nokia.mobile-xmf,[Nokia]
vnd.nortel.vbk,audio/vnd.nortel.vbk,[Glenn_Parsons]
vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,[Michael_Fox]
vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,[Michael_Fox]
vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,[Michael_Fox]
vnd.octel.sbc,audio/vnd.octel.sbc,[Greg_Vaudreuil]
vnd.opennbs.nbs,audio/vnd.opennbs.nbs,[OpenNBS_Project]
vnd.presonus.multitrack,audio/vnd.presonus.multitrack,[Matthias_Juwan]
vnd.qcelp - DEPRECATED in favor of audio/qcelp,audio/vnd.qcelp,[RFC 3625]
vnd.rhetorex.32kadpcm,audio/vnd.rhetorex.32kadpcm,[Greg_Vaudreuil]
vnd.rip,audio/vnd.rip,[Martin_Dawe]
vnd.sealedmedia.softseal.mpeg,audio/vnd.sealedmedia.softseal.mpeg,[David_Petersen]
vnd.vmx.cvsd,audio/vnd.vmx.cvsd,[Greg_Vaudreuil]
vorbis,audio/vorbis,[RFC 5215]
vorbis-config,audio/vorbis-config,[RFC 5215]
