Name,Template,Reference
bhttp,message/bhttp,[RFC 9292]
CPIM,message/CPIM,[RFC 3862]
delivery-status,message/delivery-status,[RFC 1894]
disposition-notification,message/disposition-notification,[RFC 8098]
example,message/example,[RFC 4735]
external-body,message/external-body,[RFC 2045][RFC 2046]
feedback-report,message/feedback-report,[RFC 5965]
global,message/global,[RFC 6532]
global-delivery-status,message/global-delivery-status,[RFC 6533]
global-disposition-notification,message/global-disposition-notification,[RFC 6533]
global-headers,message/global-headers,[RFC 6533]
http,message/http,[RFC 9112]
imdn+xml,message/imdn+xml,[RFC 5438]
mls,message/mls,[RFC 9420]
news (OBSOLETED by [RFC 5537]),message/news,[RFC 5537][Henry_Spencer]
ohttp-chunked-req,message/ohttp-chunked-req,[RFC-ietf-ohai-chunked-ohttp-08]
ohttp-chunked-res,message/ohttp-chunked-res,[RFC-ietf-ohai-chunked-ohttp-08]
ohttp-req,message/ohttp-req,[RFC 9458]
ohttp-res,message/ohttp-res,[RFC 9458]
partial,message/partial,[RFC 2045][RFC 2046]
rfc822,message/rfc822,[RFC 2045][RFC 2046]
s-http (OBSOLETE),message/s-http,[RFC 2660][Status change of HTTP experiments to Historic]
sip,message/sip,[RFC 3261]
sipfrag,message/sipfrag,[RFC 3420]
tracking-status,message/tracking-status,[RFC 3886]
vnd.si.simp (OBSOLETED by request),message/vnd.si.simp,[Nicholas_Parks_Young]
vnd.wfa.wsc,message/vnd.wfa.wsc,[Mick_Conley]
