Name,Template,Reference
alternative,multipart/alternative,[RFC 2046][RFC 2045]
appledouble,multipart/appledouble,[Patrik_Faltstrom]
byteranges,multipart/byteranges,[RFC 9110]
digest,multipart/digest,[RFC 2046][RFC 2045]
encrypted,multipart/encrypted,[RFC 1847]
example,multipart/example,[RFC 4735]
form-data,multipart/form-data,[RFC 7578]
header-set,multipart/header-set,[Dave_Crocker]
mixed,multipart/mixed,[RFC 2046][RFC 2045]
multilingual,multipart/multilingual,[RFC 8255]
parallel,multipart/parallel,[RFC 2046][RFC 2045]
related,multipart/related,[RFC 2387]
report,multipart/report,[RFC 6522]
signed,multipart/signed,[RFC 1847]
vnd.bint.med-plus,multipart/vnd.bint.med-plus,[Heinz-Peter_Schütz]
voice-message,multipart/voice-message,[RFC 3801]
x-mixed-replace,multipart/x-mixed-replace,[W3C][Robin_Berjon]
