Name,Reference,Registry of Subtypes,Comments
application,[RFC2046],[Application Media Types],
audio,[RFC2046],[Audio Media Types],
example,[RFC4735],[Example Media Types],"no registrations, for examples only"
font,[RFC8081],[Font Media Types],
haptics,[RFC9695],[Haptics Media Types],
image,[RFC2046],[Image Media Types],
message,[RFC2046],[Message Media Types],
model,[RFC2077],[Model Media Types],
multipart,[RFC2046],[Multipart Media Types],
text,[RFC2046],[Text Media Types],requires CRLF for newlines
video,[RFC2046],[Video Media Types],
