Name,Template,Reference
1d-interleaved-parityfec,video/1d-interleaved-parityfec,[RFC 6015]
3gpp,video/3gpp,[RFC 3839][RFC 6381]
3gpp2,video/3gpp2,[RFC 4393][RFC 6381]
3gpp-tt,video/3gpp-tt,[RFC 4396]
AV1,video/AV1,[Alliance_for_Open_Media]
BMPEG,video/BMPEG,[RFC 3555]
BT656,video/BT656,[RFC 3555]
CelB,video/CelB,[RFC 3555]
DV,video/DV,[RFC 6469]
encaprtp,video/encaprtp,[RFC 6849]
evc,video/evc,[RFC 9584]
example,video/example,[RFC 4735]
FFV1,video/FFV1,[RFC 9043]
flexfec,video/flexfec,[RFC 8627]
H261,video/H261,[RFC 4587]
H263,video/H263,[RFC 3555]
H263-1998,video/H263-1998,[RFC 4629]
H263-2000,video/H263-2000,[RFC 4629]
H264,video/H264,[RFC 6184]
H264-RCDO,video/H264-RCDO,[RFC 6185]
H264-SVC,video/H264-SVC,[RFC 6190]
H265,video/H265,[RFC 7798]
H266,video/H266,[RFC 9328]
iso.segment,video/iso.segment,[David_Singer][ISO-IEC_JTC_1]
JPEG,video/JPEG,[RFC 3555]
jpeg2000,video/jpeg2000,[RFC 5371][RFC 5372]
jpeg2000-scl,video/jpeg2000-scl,[RFC 9828]
jxsv,video/jxsv,[RFC 9134]
lottie+json,video/lottie+json,[Lottie_Animation_Community]
matroska,video/matroska,[RFC 9559]
matroska-3d,video/matroska-3d,[RFC 9559]
mj2,video/mj2,[RFC 3745]
MP1S,video/MP1S,[RFC 3555]
MP2P,video/MP2P,[RFC 3555]
MP2T,video/MP2T,[RFC 3555]
mp4,video/mp4,[RFC 4337][RFC 6381]
MP4V-ES,video/MP4V-ES,[RFC 6416]
MPV,video/MPV,[RFC 3555]
mpeg,video/mpeg,[RFC 2045][RFC 2046]
mpeg4-generic,video/mpeg4-generic,[RFC 3640]
nv,video/nv,[RFC 4856]
ogg,video/ogg,[RFC 5334][RFC 7845]
parityfec,video/parityfec,[RFC 3009]
pointer,video/pointer,[RFC 2862]
prs.avid,video/prs.avid,[Ai_Media_Format]
quicktime,video/quicktime,[RFC 6381][Paul_Lindner]
raptorfec,video/raptorfec,[RFC 6682]
raw,video/raw,[RFC 4175]
rtp-enc-aescm128,video/rtp-enc-aescm128,[_3GPP]
rtploopback,video/rtploopback,[RFC 6849]
rtx,video/rtx,[RFC 4588]
scip,video/scip,[RFC 9607]
smpte291,video/smpte291,[RFC 8331]
SMPTE292M,video/SMPTE292M,[RFC 3497]
ulpfec,video/ulpfec,[RFC 5109]
vc1,video/vc1,[RFC 4425]
vc2,video/vc2,[RFC 8450]
vnd.blockfact.factv,video/vnd.blockfact.factv,[Egbert_von_Frankenberg]
vnd.CCTV,video/vnd.CCTV,[Frank_Rottmann]
vnd.dece.hd,video/vnd.dece.hd,[Michael_A_Dolan]
vnd.dece.mobile,video/vnd.dece.mobile,[Michael_A_Dolan]
vnd.dece.mp4,video/vnd.dece.mp4,[Michael_A_Dolan]
vnd.dece.pd,video/vnd.dece.pd,[Michael_A_Dolan]
vnd.dece.sd,video/vnd.dece.sd,[Michael_A_Dolan]
vnd.dece.video,video/vnd.dece.video,[Michael_A_Dolan]
vnd.directv.mpeg,video/vnd.directv.mpeg,[Nathan_Zerbe]
vnd.directv.mpeg-tts,video/vnd.directv.mpeg-tts,[Nathan_Zerbe]
vnd.dlna.mpeg-tts,video/vnd.dlna.mpeg-tts,[Edwin_Heredia]
vnd.dvb.file,video/vnd.dvb.file,[Peter_Siebert][Kevin_Murray]
vnd.fvt,video/vnd.fvt,[Arild_Fuldseth]
vnd.hns.video,video/vnd.hns.video,[Swaminathan]
vnd.iptvforum.1dparityfec-1010,video/vnd.iptvforum.1dparityfec-1010,[Shuji_Nakamura]
vnd.iptvforum.1dparityfec-2005,video/vnd.iptvforum.1dparityfec-2005,[Shuji_Nakamura]
vnd.iptvforum.2dparityfec-1010,video/vnd.iptvforum.2dparityfec-1010,[Shuji_Nakamura]
vnd.iptvforum.2dparityfec-2005,video/vnd.iptvforum.2dparityfec-2005,[Shuji_Nakamura]
vnd.iptvforum.ttsavc,video/vnd.iptvforum.ttsavc,[Shuji_Nakamura]
vnd.iptvforum.ttsmpeg2,video/vnd.iptvforum.ttsmpeg2,[Shuji_Nakamura]
vnd.motorola.video,video/vnd.motorola.video,[Tom_McGinty]
vnd.motorola.videop,video/vnd.motorola.videop,[Tom_McGinty]
vnd.mpegurl,video/vnd.mpegurl,[Heiko_Recktenwald]
vnd.ms-playready.media.pyv,video/vnd.ms-playready.media.pyv,[Steve_DiAcetis]
vnd.nokia.interleaved-multimedia,video/vnd.nokia.interleaved-multimedia,[Petteri_Kangaslampi]
