# Tab separated mapping of text to file extensions.
# To avoid trailing tabs, the columns are inversed.
#
# File extensions	Matching Text
	ASN.1 SOAP messages are not required or expected to be stored as files.
	Files do not require any specific "extension". Many are in use as a convenience for mechanized processing of files, some associated with specific macro packages or preprocessors; others are ad hoc.  File names are orthogonal to the nature of the content.  In particular, while a file name or a component of a name may be useful in some types of automated processing of files, the name or component might not be capable of indicating subtleties such as proportion of textual (as opposed to image or formatting directive) content.  This media type SHOULD NOT be assigned a relationship with any file "extension" where content may be untrusted unless there is provision for human judgment that may be used to override that relationship for individual files.  Where appropriate, a file name MAY be suggested by a suitable mechanism such as the one specified in [I17.RFC2183] as amended by [N5.RFC2231] and [N6.Errata].
	No extension, but the file is usually named 'copyright'.
	No specific file extensions are recommended for this type.
	None - no file storage type is defined for syslog
	None.  A file format with the extension .mp4 has been defined for MPEG-4 content but is not directly correlated with this MIME type for which the sole purpose is RTP transport.
	None. This MIME-type primary purpoes is to identify PDUs that are in transport.
	RFC 8427 uses the media type to refer to protocol messages and thus does not require a file extension.
	RFC 9569 uses the media type to refer to protocol messages; thus, it does not require a file extension.
	SOAP messages are not required or expected to be stored as files.
	This media type does not propose a specific extension.
	W3C SOAP message infosets serialized as fast infoset documents are not required or expected to be stored as files.
	[RFC7285] uses the mime type to refer to protocol messages and thus does not require a file extension.
	[RFC8895] uses the mime type to refer to protocol messages and thus does not require a file extension.
	none but the file is commonly named "Manifest"
	not expected to be stored in files
123 wk4 wk3 wk1	123 wk4 (older form) wk3 (older form) wk1 (older form)
3g2 3gpp2	3g2 and 3gpp2 are both declared at <http://www.nist.gov/nics/>; 3g2 is preferred.
3gp 3gpp	'3gp' and '3gpp' are declared at http://www.nist.gov/nics/
3gp 3gpp	3gp and 3gpp are both declared at http://www.nist.gov/nics/; 3gp is preferred
X_B xmt_bin	.X_B (recommended), .xmt_bin (deprecated)
X_T xmt_txt	.X_T (recommended), .xmt_txt (deprecated)
abc	".abc" It is recommended that abc file names should use this extension.  (Many HTTP servers use the file extension as an indicator of MIME type.)  The ABC language uses the '<' and '>' characters. Raw ABC must not be embedded into HTML files, and the file extension ".html" must be avoided.
adts aac loas ass	.adts or .aac (ADTS), .loas or .ass (LATM/LOAS)
apexlang apex axdl	- .apexlang - .apex - .axdl
cellml xml cml	The RECOMMENDED file extension for CellML Umbrella documents is .cellml  Some older software uses the file extension .xml. Software vendors have also used the non-standard extension .cml. In contexts where the MIME type is available, or where the type has already been determined as CellML, implementations SHOULD allow files to be opened regardless of the extension. Implementations transferring models to an environment that uses file extensions SHOULD use the .cellml extension.
dcm	".dcm" is recommended for files saved to disk (other than DICOMDIR)
dls	.dls is declared at http://www.nist.gov/nics
eln	ELN files are identified with .eln extension.
emf	.emf (for both EMF and EMF+ content)
emm	emm (Electronic Media Management)
emma	EMMA documents are most often identified with the extensions ".emma".
epub	OCF ZIP container files are most often identified with the extension .epub.
fdt	".fdt" (e.g., if there is a need to store an FDT Instance as a file)
fits fit fts	fits  This file extension SHOULD NOT be interpreted as a prescription.  The FITS standard originated in the era when files were stored and exchanged via magnetic tape; it does not prescribe any nomenclature for files on disk. Various sites within the FITS community have long-established practices where files are presumed to be FITS by context. File extensions used at such sites commonly indicate content of the file instead of the data format.  In the absence of other information it is reasonably safe to presume that a file name ending in ".fits" is intended to be a FITS file. Nevertheless, there are other commonly used extensions; e.g., ".fit", ".fts", and many others not suitable for listing in a media type registration.
